Stranding_ID,State,Year,Month,Day,Age_Class_Simple,Sex_simple,Time_period
126,SC,2013,NOV,23,ADULT,MALE,UME
127,SC,2013,NOV,25,ADULT,FEMALE,UME
128,NC,2014,JUL,2,ADULT,FEMALE,UME
129,NJ,2013,SEP,23,ADULT,MALE,UME
130,NJ,2013,SEP,26,ADULT,MALE,UME
131,SC,2013,NOV,23,ADULT,MALE,UME
132,NC,2014,JUN,29,ADULT,MALE,UME
133,NC,2013,AUG,29,ADULT,FEMALE,UME
134,NC,2014,JAN,11,ADULT,MALE,UME
135,NC,2014,JAN,9,ADULT,MALE,UME
136,NJ,2013,OCT,8,ADULT,MALE,UME
137,NJ,2013,OCT,10,ADULT,MALE,UME
138,FL,2013,DEC,13,ADULT,MALE,UME
139,NC,2013,DEC,15,ADULT,MALE,UME
140,SC,2013,DEC,7,ADULT,FEMALE,UME
141,NJ,2013,AUG,15,ADULT,MALE,UME
142,NJ,2013,JUL,17,ADULT,MALE,UME
143,GA,2013,SEP,22,ADULT,MALE,UME
144,SC,2013,SEP,14,ADULT,FEMALE,UME
145,NJ,2013,JUL,25,ADULT,FEMALE,UME
146,NC,2013,AUG,24,ADULT,MALE,UME
147,NJ,2013,AUG,8,ADULT,MALE,UME
148,GA,2013,DEC,7,ADULT,FEMALE,UME
149,NJ,2013,JUL,18,ADULT,FEMALE,UME
150,MD,2013,JUL,28,ADULT,MALE,UME
151,GA,2013,DEC,6,ADULT,MALE,UME
152,MD,2013,AUG,31,ADULT,MALE,UME
153,NJ,2013,JUL,14,ADULT,MALE,UME
154,NJ,2013,JUL,29,ADULT,MALE,UME
155,NC,2013,AUG,1,ADULT,MALE,UME
156,NC,2013,AUG,3,ADULT,MALE,UME
157,FL,2013,DEC,18,ADULT,FEMALE,UME
158,FL,2013,NOV,24,ADULT,FEMALE,UME
159,NJ,2013,JUL,30,ADULT,FEMALE,UME
160,NJ,2013,JUL,31,ADULT,MALE,UME
161,NJ,2013,AUG,10,ADULT,MALE,UME
162,GA,2013,AUG,1,ADULT,FEMALE,UME
163,NJ,2013,AUG,2,ADULT,MALE,UME
164,NJ,2013,AUG,11,ADULT,MALE,UME
165,MD,2013,JUL,14,ADULT,MALE,UME
166,NJ,2013,AUG,3,ADULT,MALE,UME
167,NJ,2013,NOV,1,ADULT,MALE,UME
168,NJ,2013,OCT,20,ADULT,FEMALE,UME
169,NC,2013,OCT,25,ADULT,MALE,UME
170,MD,2013,OCT,10,ADULT,FEMALE,UME
171,NC,2013,DEC,15,ADULT,MALE,UME
172,NJ,2013,SEP,30,ADULT,MALE,UME
173,NC,2013,NOV,14,ADULT,MALE,UME
174,NJ,2013,OCT,4,ADULT,MALE,UME
175,GA,2013,DEC,3,ADULT,MALE,UME
176,NJ,2013,OCT,8,ADULT,MALE,UME
177,FL,2013,DEC,14,ADULT,FEMALE,UME
178,SC,2013,DEC,16,ADULT,FEMALE,UME
179,SC,2013,DEC,15,ADULT,MALE,UME
180,NC,2013,OCT,7,ADULT,MALE,UME
181,NJ,2013,AUG,15,ADULT,FEMALE,UME
182,SC,2014,MAR,2,ADULT,FEMALE,UME
183,FL,2014,FEB,14,ADULT,MALE,UME
184,GA,2014,APR,3,ADULT,MALE,UME
185,SC,2013,NOV,9,ADULT,MALE,UME
186,VA,2013,JUL,31,ADULT,MALE,UME
187,NC,2013,JUL,17,ADULT,MALE,UME
188,SC,2013,NOV,11,ADULT,MALE,UME
189,SC,2013,NOV,12,ADULT,MALE,UME
190,SC,2013,NOV,13,ADULT,MALE,UME
191,SC,2013,NOV,14,ADULT,MALE,UME
192,SC,2013,NOV,14,ADULT,MALE,UME
193,MD,2013,SEP,9,ADULT,MALE,UME
194,NC,2014,FEB,2,ADULT,MALE,UME
195,MD,2014,JAN,28,ADULT,MALE,UME
196,MD,2013,SEP,9,ADULT,FEMALE,UME
197,FL,2013,NOV,24,ADULT,MALE,UME
198,FL,2013,NOV,24,ADULT,FEMALE,UME
199,NC,2014,FEB,23,ADULT,MALE,UME
200,SC,2014,JAN,6,ADULT,FEMALE,UME
201,NJ,2013,AUG,17,ADULT,MALE,UME
202,SC,2014,APR,27,ADULT,MALE,UME
203,NC,2013,NOV,28,ADULT,MALE,UME
204,SC,2014,MAY,7,ADULT,MALE,UME
205,SC,2014,FEB,20,ADULT,FEMALE,UME
206,NJ,2013,JUL,28,ADULT,MALE,UME
207,NC,2014,APR,28,ADULT,MALE,UME
208,NJ,2013,AUG,16,ADULT,FEMALE,UME
209,DE,2013,AUG,29,ADULT,MALE,UME
210,DE,2013,AUG,25,ADULT,MALE,UME
211,NC,2014,MAY,20,ADULT,MALE,UME
212,GA,2013,AUG,16,ADULT,FEMALE,UME
213,NC,2014,APR,30,ADULT,MALE,UME
214,NC,2014,MAY,11,ADULT,MALE,UME
215,FL,2014,MAY,21,ADULT,MALE,UME
216,NJ,2013,AUG,18,ADULT,FEMALE,UME
217,NJ,2013,AUG,2,ADULT,MALE,UME
218,NJ,2013,JUL,29,ADULT,MALE,UME
219,DE,2013,AUG,17,ADULT,MALE,UME
220,SC,2014,MAR,17,ADULT,MALE,UME
221,NJ,2013,JUL,21,ADULT,MALE,UME
222,NC,2014,MAY,19,ADULT,MALE,UME
223,NJ,2013,OCT,31,ADULT,MALE,UME
224,NJ,2013,NOV,6,ADULT,MALE,UME
225,NC,2014,MAR,25,ADULT,MALE,UME
226,NJ,2013,AUG,24,ADULT,MALE,UME
227,DE,2013,AUG,30,ADULT,FEMALE,UME
228,SC,2014,NOV,24,ADULT,FEMALE,UME
229,NC,2014,NOV,3,ADULT,FEMALE,UME
230,NC,2014,OCT,5,ADULT,FEMALE,UME
231,NC,2014,OCT,29,ADULT,MALE,UME
232,VA,2014,NOV,11,ADULT,MALE,UME
233,GA,2014,DEC,20,ADULT,FEMALE,UME
234,GA,2015,JAN,21,ADULT,MALE,UME
235,GA,2015,JAN,9,ADULT,FEMALE,UME
236,SC,2014,NOV,23,ADULT,FEMALE,UME
237,SC,2015,JAN,1,ADULT,FEMALE,UME
238,NJ,2014,DEC,22,ADULT,MALE,UME
239,GA,2015,JAN,24,ADULT,MALE,UME
240,GA,2015,JAN,24,ADULT,FEMALE,UME
241,GA,2014,SEP,17,ADULT,FEMALE,UME
242,NC,2014,SEP,28,ADULT,MALE,UME
243,SC,2014,SEP,15,ADULT,FEMALE,UME
244,SC,2014,SEP,29,ADULT,FEMALE,UME
245,GA,2014,SEP,26,ADULT,FEMALE,UME
246,NC,2014,OCT,10,ADULT,MALE,UME
247,NJ,2014,AUG,23,ADULT,MALE,UME
248,FL,2014,JUL,29,ADULT,MALE,UME
249,GA,2015,FEB,21,ADULT,FEMALE,UME
250,NC,2015,FEB,18,ADULT,FEMALE,UME
251,SC,2014,NOV,20,ADULT,FEMALE,UME
252,GA,2015,FEB,14,ADULT,FEMALE,UME
253,GA,2013,NOV,18,ADULT,FEMALE,UME
254,NJ,2013,SEP,12,ADULT,FEMALE,UME
